"Label (Grouping)","Maryland!!Total!!Estimate","Maryland!!Total!!Margin of Error","Maryland!!Percent!!Estimate","Maryland!!Percent!!Margin of Error","Maryland!!Male!!Estimate","Maryland!!Male!!Margin of Error","Maryland!!Percent Male!!Estimate","Maryland!!Percent Male!!Margin of Error","Maryland!!Female!!Estimate","Maryland!!Female!!Margin of Error","Maryland!!Percent Female!!Estimate","Maryland!!Percent Female!!Margin of Error","Congressional District 1 (116th Congress), Maryland!!Total!!Estimate","Congressional District 1 (116th Congress), Maryland!!Total!!Margin of Error","Congressional District 1 (116th Congress), Maryland!!Percent!!Estimate","Congressional District 1 (116th Congress), Maryland!!Percent!!Margin of Error","Congressional District 1 (116th Congress), Maryland!!Male!!Estimate","Congressional District 1 (116th Congress), Maryland!!Male!!Margin of Error","Congressional District 1 (116th Congress), Maryland!!Percent Male!!Estimate","Congressional District 1 (116th Congress), Maryland!!Percent Male!!Margin of Error","Congressional District 1 (116th Congress), Maryland!!Female!!Estimate","Congressional District 1 (116th Congress), Maryland!!Female!!Margin of Error","Congressional District 1 (116th Congress), Maryland!!Percent Female!!Estimate","Congressional District 1 (116th Congress), Maryland!!Percent Female!!Margin of Error","Congressional District 2 (116th Congress), Maryland!!Total!!Estimate","Congressional District 2 (116th Congress), Maryland!!Total!!Margin of Error","Congressional District 2 (116th Congress), Maryland!!Percent!!Estimate","Congressional District 2 (116th Congress), Maryland!!Percent!!Margin of Error","Congressional District 2 (116th Congress), Maryland!!Male!!Estimate","Congressional District 2 (116th Congress), Maryland!!Male!!Margin of Error","Congressional District 2 (116th Congress), Maryland!!Percent Male!!Estimate","Congressional District 2 (116th Congress), Maryland!!Percent Male!!Margin of Error","Congressional District 2 (116th Congress), Maryland!!Female!!Estimate","Congressional District 2 (116th Congress), Maryland!!Female!!Margin of Error","Congressional District 2 (116th Congress), Maryland!!Percent Female!!Estimate","Congressional District 2 (116th Congress), Maryland!!Percent Female!!Margin of Error","Congressional District 3 (116th Congress), Maryland!!Total!!Estimate","Congressional District 3 (116th Congress), Maryland!!Total!!Margin of Error","Congressional District 3 (116th Congress), Maryland!!Percent!!Estimate","Congressional District 3 (116th Congress), Maryland!!Percent!!Margin of Error","Congressional District 3 (116th Congress), Maryland!!Male!!Estimate","Congressional District 3 (116th Congress), Maryland!!Male!!Margin of Error","Congressional District 3 (116th Congress), Maryland!!Percent Male!!Estimate","Congressional District 3 (116th Congress), Maryland!!Percent Male!!Margin of Error","Congressional District 3 (116th Congress), Maryland!!Female!!Estimate","Congressional District 3 (116th Congress), Maryland!!Female!!Margin of Error","Congressional District 3 (116th Congress), Maryland!!Percent Female!!Estimate","Congressional District 3 (116th Congress), Maryland!!Percent Female!!Margin of Error","Congressional District 4 (116th Congress), Maryland!!Total!!Estimate","Congressional District 4 (116th Congress), Maryland!!Total!!Margin of Error","Congressional District 4 (116th Congress), Maryland!!Percent!!Estimate","Congressional District 4 (116th Congress), Maryland!!Percent!!Margin of Error","Congressional District 4 (116th Congress), Maryland!!Male!!Estimate","Congressional District 4 (116th Congress), Maryland!!Male!!Margin of Error","Congressional District 4 (116th Congress), Maryland!!Percent Male!!Estimate","Congressional District 4 (116th Congress), Maryland!!Percent Male!!Margin of Error","Congressional District 4 (116th Congress), Maryland!!Female!!Estimate","Congressional District 4 (116th Congress), Maryland!!Female!!Margin of Error","Congressional District 4 (116th Congress), Maryland!!Percent Female!!Estimate","Congressional District 4 (116th Congress), Maryland!!Percent Female!!Margin of Error","Congressional District 5 (116th Congress), Maryland!!Total!!Estimate","Congressional District 5 (116th Congress), Maryland!!Total!!Margin of Error","Congressional District 5 (116th Congress), Maryland!!Percent!!Estimate","Congressional District 5 (116th Congress), Maryland!!Percent!!Margin of Error","Congressional District 5 (116th Congress), Maryland!!Male!!Estimate","Congressional District 5 (116th Congress), Maryland!!Male!!Margin of Error","Congressional District 5 (116th Congress), Maryland!!Percent Male!!Estimate","Congressional District 5 (116th Congress), Maryland!!Percent Male!!Margin of Error","Congressional District 5 (116th Congress), Maryland!!Female!!Estimate","Congressional District 5 (116th Congress), Maryland!!Female!!Margin of Error","Congressional District 5 (116th Congress), Maryland!!Percent Female!!Estimate","Congressional District 5 (116th Congress), Maryland!!Percent Female!!Margin of Error","Congressional District 6 (116th Congress), Maryland!!Total!!Estimate","Congressional District 6 (116th Congress), Maryland!!Total!!Margin of Error","Congressional District 6 (116th Congress), Maryland!!Percent!!Estimate","Congressional District 6 (116th Congress), Maryland!!Percent!!Margin of Error","Congressional District 6 (116th Congress), Maryland!!Male!!Estimate","Congressional District 6 (116th Congress), Maryland!!Male!!Margin of Error","Congressional District 6 (116th Congress), Maryland!!Percent Male!!Estimate","Congressional District 6 (116th Congress), Maryland!!Percent Male!!Margin of Error","Congressional District 6 (116th Congress), Maryland!!Female!!Estimate","Congressional District 6 (116th Congress), Maryland!!Female!!Margin of Error","Congressional District 6 (116th Congress), Maryland!!Percent Female!!Estimate","Congressional District 6 (116th Congress), Maryland!!Percent Female!!Margin of Error","Congressional District 7 (116th Congress), Maryland!!Total!!Estimate","Congressional District 7 (116th Congress), Maryland!!Total!!Margin of Error","Congressional District 7 (116th Congress), Maryland!!Percent!!Estimate","Congressional District 7 (116th Congress), Maryland!!Percent!!Margin of Error","Congressional District 7 (116th Congress), Maryland!!Male!!Estimate","Congressional District 7 (116th Congress), Maryland!!Male!!Margin of Error","Congressional District 7 (116th Congress), Maryland!!Percent Male!!Estimate","Congressional District 7 (116th Congress), Maryland!!Percent Male!!Margin of Error","Congressional District 7 (116th Congress), Maryland!!Female!!Estimate","Congressional District 7 (116th Congress), Maryland!!Female!!Margin of Error","Congressional District 7 (116th Congress), Maryland!!Percent Female!!Estimate","Congressional District 7 (116th Congress), Maryland!!Percent Female!!Margin of Error","Congressional District 8 (116th Congress), Maryland!!Total!!Estimate","Congressional District 8 (116th Congress), Maryland!!Total!!Margin of Error","Congressional District 8 (116th Congress), Maryland!!Percent!!Estimate","Congressional District 8 (116th Congress), Maryland!!Percent!!Margin of Error","Congressional District 8 (116th Congress), Maryland!!Male!!Estimate","Congressional District 8 (116th Congress), Maryland!!Male!!Margin of Error","Congressional District 8 (116th Congress), Maryland!!Percent Male!!Estimate","Congressional District 8 (116th Congress), Maryland!!Percent Male!!Margin of Error","Congressional District 8 (116th Congress), Maryland!!Female!!Estimate","Congressional District 8 (116th Congress), Maryland!!Female!!Margin of Error","Congressional District 8 (116th Congress), Maryland!!Percent Female!!Estimate","Congressional District 8 (116th Congress), Maryland!!Percent Female!!Margin of Error"
"Total population","6,037,624","*****","(X)","(X)","2,925,644","±681","(X)","(X)","3,111,980","±681","(X)","(X)","734,056","±3,424","(X)","(X)","361,000","±2,155","(X)","(X)","373,056","±2,118","(X)","(X)","768,582","±6,079","(X)","(X)","366,483","±4,202","(X)","(X)","402,099","±3,669","(X)","(X)","756,291","±6,906","(X)","(X)","364,077","±4,261","(X)","(X)","392,214","±4,550","(X)","(X)","755,373","±5,862","(X)","(X)","364,544","±3,399","(X)","(X)","390,829","±3,581","(X)","(X)","764,867","±5,038","(X)","(X)","373,663","±2,809","(X)","(X)","391,204","±3,387","(X)","(X)","770,857","±5,063","(X)","(X)","380,624","±3,055","(X)","(X)","390,233","±3,337","(X)","(X)","717,953","±6,643","(X)","(X)","341,203","±3,727","(X)","(X)","376,750","±4,184","(X)","(X)","769,645","±5,951","(X)","(X)","374,050","±3,704","(X)","(X)","395,595","±3,711","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","363,618","±318","6.0%","±0.1","185,539","±403","6.3%","±0.1","178,079","±387","5.7%","±0.1","38,218","±703","5.2%","±0.1","20,077","±601","5.6%","±0.2","18,141","±597","4.9%","±0.2","50,959","±1,711","6.6%","±0.2","24,508","±1,201","6.7%","±0.3","26,451","±1,073","6.6%","±0.3","45,538","±1,955","6.0%","±0.2","23,547","±1,300","6.5%","±0.3","21,991","±1,180","5.6%","±0.3","51,259","±1,321","6.8%","±0.2","26,363","±887","7.2%","±0.2","24,896","±981","6.4%","±0.2","45,000","±1,123","5.9%","±0.1","23,066","±799","6.2%","±0.2","21,934","±945","5.6%","±0.2","47,070","±1,267","6.1%","±0.2","24,036","±919","6.3%","±0.2","23,034","±870","5.9%","±0.2","40,112","±1,328","5.6%","±0.2","21,272","±777","6.2%","±0.2","18,840","±931","5.0%","±0.2","45,462","±1,426","5.9%","±0.2","22,670","±994","6.1%","±0.3","22,792","±950","5.8%","±0.2"
"        5 to 9 years","368,569","±3,446","6.1%","±0.1","187,164","±2,457","6.4%","±0.1","181,405","±2,413","5.8%","±0.1","42,394","±1,132","5.8%","±0.1","22,142","±874","6.1%","±0.2","20,252","±873","5.4%","±0.2","49,350","±1,678","6.4%","±0.2","24,876","±1,227","6.8%","±0.3","24,474","±1,205","6.1%","±0.3","45,027","±1,576","6.0%","±0.2","22,533","±1,140","6.2%","±0.3","22,494","±1,090","5.7%","±0.3","49,972","±1,576","6.6%","±0.2","25,933","±1,041","7.1%","±0.3","24,039","±988","6.2%","±0.2","45,611","±1,395","6.0%","±0.2","22,892","±1,020","6.1%","±0.3","22,719","±957","5.8%","±0.2","47,529","±1,365","6.2%","±0.2","24,459","±984","6.4%","±0.3","23,070","±1,000","5.9%","±0.2","41,352","±1,655","5.8%","±0.2","21,027","±1,053","6.2%","±0.3","20,325","±1,062","5.4%","±0.3","47,334","±1,707","6.2%","±0.2","23,302","±1,030","6.2%","±0.3","24,032","±1,236","6.1%","±0.3"
"        10 to 14 years","380,896","±3,519","6.3%","±0.1","195,382","±2,504","6.7%","±0.1","185,514","±2,380","6.0%","±0.1","46,081","±1,275","6.3%","±0.2","23,582","±979","6.5%","±0.3","22,499","±982","6.0%","±0.3","47,233","±1,947","6.1%","±0.2","23,495","±1,460","6.4%","±0.4","23,738","±1,186","5.9%","±0.3","45,533","±2,084","6.0%","±0.3","23,658","±1,310","6.5%","±0.3","21,875","±1,386","5.6%","±0.3","48,097","±1,417","6.4%","±0.2","24,859","±1,066","6.8%","±0.3","23,238","±957","5.9%","±0.2","49,635","±1,219","6.5%","±0.2","24,904","±958","6.7%","±0.3","24,731","±970","6.3%","±0.2","48,801","±1,610","6.3%","±0.2","24,822","±1,124","6.5%","±0.3","23,979","±1,007","6.1%","±0.2","44,833","±1,373","6.2%","±0.2","23,085","±1,084","6.8%","±0.3","21,748","±984","5.8%","±0.3","50,683","±1,397","6.6%","±0.2","26,977","±1,165","7.2%","±0.3","23,706","±1,017","6.0%","±0.2"
"        15 to 19 years","381,735","±906","6.3%","±0.1","194,226","±715","6.6%","±0.1","187,509","±514","6.0%","±0.1","48,741","±863","6.6%","±0.1","24,673","±676","6.8%","±0.2","24,068","±621","6.5%","±0.2","45,158","±1,474","5.9%","±0.2","22,142","±1,004","6.0%","±0.3","23,016","±1,131","5.7%","±0.3","45,631","±1,661","6.0%","±0.2","23,244","±1,135","6.4%","±0.3","22,387","±1,134","5.7%","±0.3","42,501","±1,374","5.6%","±0.2","22,080","±865","6.1%","±0.2","20,421","±898","5.2%","±0.2","56,417","±1,214","7.4%","±0.1","29,023","±827","7.8%","±0.2","27,394","±826","7.0%","±0.2","49,005","±1,167","6.4%","±0.1","24,984","±865","6.6%","±0.2","24,021","±779","6.2%","±0.2","47,143","±1,210","6.6%","±0.2","23,881","±826","7.0%","±0.2","23,262","±841","6.2%","±0.2","47,139","±1,264","6.1%","±0.2","24,199","±897","6.5%","±0.2","22,940","±930","5.8%","±0.2"
"        20 to 24 years","378,108","±727","6.3%","±0.1","191,996","±467","6.6%","±0.1","186,112","±510","6.0%","±0.1","45,717","±810","6.2%","±0.1","23,552","±576","6.5%","±0.2","22,165","±497","5.9%","±0.1","48,906","±1,497","6.4%","±0.2","24,826","±1,102","6.8%","±0.3","24,080","±1,045","6.0%","±0.2","50,265","±1,875","6.6%","±0.2","25,752","±1,362","7.1%","±0.3","24,513","±1,246","6.2%","±0.3","43,100","±1,254","5.7%","±0.2","20,787","±903","5.7%","±0.2","22,313","±872","5.7%","±0.2","52,257","±1,250","6.8%","±0.2","27,272","±823","7.3%","±0.2","24,985","±810","6.4%","±0.2","47,929","±1,336","6.2%","±0.2","25,287","±847","6.6%","±0.2","22,642","±936","5.8%","±0.2","47,038","±1,374","6.6%","±0.2","23,604","±862","6.9%","±0.2","23,434","±904","6.2%","±0.2","42,896","±1,249","5.6%","±0.2","20,916","±863","5.6%","±0.2","21,980","±857","5.6%","±0.2"
"        25 to 29 years","412,930","±595","6.8%","±0.1","207,639","±401","7.1%","±0.1","205,291","±390","6.6%","±0.1","41,108","±1,028","5.6%","±0.1","20,770","±623","5.8%","±0.2","20,338","±628","5.5%","±0.2","62,332","±1,883","8.1%","±0.2","30,375","±1,322","8.3%","±0.3","31,957","±1,199","7.9%","±0.3","57,594","±1,882","7.6%","±0.2","28,816","±1,275","7.9%","±0.3","28,778","±1,266","7.3%","±0.3","53,452","±1,421","7.1%","±0.2","26,955","±891","7.4%","±0.2","26,497","±880","6.8%","±0.2","49,470","±1,327","6.5%","±0.2","25,295","±830","6.8%","±0.2","24,175","±791","6.2%","±0.2","47,638","±1,299","6.2%","±0.2","25,565","±873","6.7%","±0.2","22,073","±797","5.7%","±0.2","55,464","±1,392","7.7%","±0.2","26,870","±975","7.9%","±0.3","28,594","±863","7.6%","±0.2","45,872","±1,451","6.0%","±0.2","22,993","±950","6.1%","±0.2","22,879","±850","5.8%","±0.2"
"        30 to 34 years","416,473","±738","6.9%","±0.1","205,454","±575","7.0%","±0.1","211,019","±437","6.8%","±0.1","41,144","±1,011","5.6%","±0.1","20,642","±695","5.7%","±0.2","20,502","±581","5.5%","±0.2","61,047","±1,787","7.9%","±0.2","29,853","±1,076","8.1%","±0.3","31,194","±1,231","7.8%","±0.3","59,690","±1,786","7.9%","±0.2","29,545","±1,241","8.1%","±0.3","30,145","±1,066","7.7%","±0.3","55,587","±1,521","7.4%","±0.2","27,118","±1,029","7.4%","±0.3","28,469","±887","7.3%","±0.2","49,323","±1,402","6.4%","±0.2","25,023","±1,051","6.7%","±0.3","24,300","±721","6.2%","±0.2","51,328","±1,301","6.7%","±0.2","26,010","±943","6.8%","±0.2","25,318","±762","6.5%","±0.2","48,722","±1,453","6.8%","±0.2","22,828","±929","6.7%","±0.3","25,894","±977","6.9%","±0.2","49,632","±1,359","6.4%","±0.2","24,435","±965","6.5%","±0.2","25,197","±829","6.4%","±0.2"
"        35 to 39 years","407,787","±3,971","6.8%","±0.1","199,596","±2,768","6.8%","±0.1","208,191","±2,709","6.7%","±0.1","41,980","±1,495","5.7%","±0.2","20,519","±928","5.7%","±0.3","21,461","±946","5.8%","±0.3","53,727","±1,830","7.0%","±0.2","25,975","±1,234","7.1%","±0.3","27,752","±1,098","6.9%","±0.3","51,801","±1,563","6.8%","±0.2","24,379","±1,081","6.7%","±0.3","27,422","±1,033","7.0%","±0.3","55,086","±1,529","7.3%","±0.2","27,519","±1,102","7.5%","±0.3","27,567","±1,174","7.1%","±0.3","50,435","±1,549","6.6%","±0.2","25,373","±941","6.8%","±0.2","25,062","±1,082","6.4%","±0.3","54,330","±1,872","7.0%","±0.2","27,214","±1,152","7.1%","±0.3","27,116","±1,137","6.9%","±0.3","48,170","±1,575","6.7%","±0.2","22,834","±1,096","6.7%","±0.3","25,336","±1,102","6.7%","±0.3","52,258","±1,667","6.8%","±0.2","25,783","±1,067","6.9%","±0.3","26,475","±1,102","6.7%","±0.3"
